timestamp,hook_event_name,session_id,verdict
1785982250.152503,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785982250.659308,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785982251.123477,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785982291.2310221,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785982417.3141298,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785982838.803103,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785982991.1955478,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785983037.571766,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785983152.720222,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785983153.272877,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785983153.748478,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785985727.214663,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785985727.692441,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785985728.150583,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785985753.558191,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785985894.9318888,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785985926.169282,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785986315.145327,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785986721.5374458,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785986922.025134,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785986938.078312,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785987303.630186,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785987305.462275,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785987387.429195,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785987410.849445,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785987432.954571,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785987433.920182,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785987453.705178,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785987454.3577359,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785987455.1206532,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785987455.673426,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785987517.407084,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785987518.1206841,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
1785987518.767515,PreToolUse,1fdea828-5e55-40d7-a2f5-3389a1d6ab26,missed
